time,"P(B1|X3)","P(B1|X6)","P(B2|X6)"
6.620000e-11,7.868458e-01,2.524125e-02,2.574020e-02
6.640000e-11,7.869505e-01,2.556016e-02,2.606621e-02
6.660000e-11,7.870535e-01,2.587911e-02,2.639242e-02
6.680000e-11,7.871549e-01,2.619822e-02,2.671874e-02
6.700000e-11,7.872547e-01,2.651757e-02,2.704508e-02
6.720000e-11,7.873529e-01,2.683723e-02,2.737138e-02
6.740000e-11,7.874495e-01,2.715725e-02,2.769763e-02
6.760000e-11,7.875446e-01,2.747761e-02,2.802383e-02
6.780000e-11,7.876382e-01,2.779830e-02,2.835003e-02
6.800000e-11,7.877303e-01,2.811922e-02,2.867631e-02
6.820000e-11,7.878209e-01,2.844030e-02,2.900273e-02
6.840000e-11,7.879102e-01,2.876146e-02,2.932937e-02
6.860000e-11,7.879980e-01,2.908260e-02,2.965629e-02
6.880000e-11,7.880845e-01,2.940370e-02,2.998350e-02
6.900000e-11,7.881696e-01,2.972472e-02,3.031101e-02
6.920000e-11,7.882534e-01,3.004570e-02,3.063877e-02
6.940000e-11,7.883359e-01,3.036668e-02,3.096674e-02
6.960000e-11,7.884170e-01,3.068773e-02,3.129483e-02
6.980000e-11,7.884969e-01,3.100892e-02,3.162298e-02
7.000000e-11,7.885755e-01,3.133033e-02,3.195114e-02
7.020000e-11,7.886528e-01,3.165200e-02,3.227927e-02
7.040000e-11,7.887289e-01,3.197394e-02,3.260736e-02
7.060000e-11,7.888038e-01,3.229615e-02,3.293543e-02
7.080000e-11,7.888776e-01,3.261858e-02,3.326353e-02
7.100000e-11,7.889501e-01,3.294118e-02,3.359171e-02
7.120000e-11,7.890215e-01,3.326388e-02,3.392003e-02
7.140000e-11,7.890918e-01,3.358662e-02,3.424853e-02
7.160000e-11,7.891611e-01,3.390934e-02,3.457726e-02
7.180000e-11,7.892292e-01,3.423201e-02,3.490623e-02
7.200000e-11,7.892962e-01,3.455465e-02,3.523541e-02
7.220000e-11,7.893622e-01,3.487726e-02,3.556477e-02
7.240000e-11,7.894272e-01,3.519991e-02,3.589428e-02
7.260000e-11,7.894911e-01,3.552263e-02,3.622387e-02
7.280000e-11,7.895540e-01,3.584548e-02,3.655349e-02
7.300000e-11,7.896159e-01,3.616852e-02,3.688311e-02
7.320000e-11,7.896769e-01,3.649176e-02,3.721270e-02
7.340000e-11,7.897368e-01,3.681522e-02,3.754228e-02
7.360000e-11,7.897958e-01,3.713888e-02,3.787186e-02
7.380000e-11,7.898539e-01,3.746269e-02,3.820147e-02
7.400000e-11,7.899110e-01,3.778662e-02,3.853117e-02
7.420000e-11,7.899673e-01,3.811061e-02,3.886100e-02
7.440000e-11,7.900227e-01,3.843462e-02,3.919098e-02
7.460000e-11,7.900772e-01,3.875861e-02,3.952115e-02
7.480000e-11,7.901309e-01,3.908257e-02,3.985149e-02
7.500000e-11,7.901837e-01,3.940650e-02,4.018199e-02
7.520000e-11,7.902357e-01,3.973044e-02,4.051263e-02
7.540000e-11,7.902868e-01,4.005442e-02,4.084336e-02
7.560000e-11,7.903372e-01,4.037847e-02,4.117415e-02
7.580000e-11,7.903867e-01,4.070265e-02,4.150495e-02
7.600000e-11,7.904355e-01,4.102698e-02,4.183575e-02
7.620000e-11,7.904835e-01,4.135147e-02,4.216653e-02
7.640000e-11,7.905307e-01,4.167613e-02,4.249731e-02
7.660000e-11,7.905771e-01,4.200093e-02,4.282810e-02
7.680000e-11,7.906229e-01,4.232585e-02,4.315894e-02
7.700000e-11,7.906679e-01,4.265084e-02,4.348986e-02
7.720000e-11,7.907122e-01,4.297587e-02,4.382089e-02
7.740000e-11,7.907558e-01,4.330090e-02,4.415205e-02
7.760000e-11,7.907988e-01,4.362592e-02,4.448335e-02
7.780000e-11,7.908410e-01,4.395092e-02,4.481479e-02
7.800000e-11,7.908826e-01,4.427591e-02,4.514634e-02
7.820000e-11,7.909236e-01,4.460092e-02,4.547800e-02
7.840000e-11,7.909639e-01,4.492597e-02,4.580971e-02
7.860000e-11,7.910035e-01,4.525110e-02,4.614146e-02
7.880000e-11,7.910425e-01,4.557633e-02,4.647322e-02
7.900000e-11,7.910809e-01,4.590169e-02,4.680497e-02
7.920000e-11,7.911187e-01,4.622718e-02,4.713672e-02
7.940000e-11,7.911559e-01,4.655279e-02,4.746848e-02
7.960000e-11,7.911925e-01,4.687851e-02,4.780026e-02
7.980000e-11,7.912285e-01,4.720430e-02,4.813208e-02
8.000000e-11,7.912640e-01,4.753015e-02,4.846398e-02
8.020000e-11,7.912989e-01,4.785602e-02,4.879597e-02
8.040000e-11,7.913332e-01,4.818189e-02,4.912807e-02
8.060000e-11,7.913670e-01,4.850775e-02,4.946028e-02
8.080000e-11,7.914003e-01,4.883360e-02,4.979260e-02
8.100000e-11,7.914331e-01,4.915945e-02,5.012500e-02
8.120000e-11,7.914653e-01,4.948533e-02,5.045747e-02
8.140000e-11,7.914971e-01,4.981126e-02,5.078998e-02
8.160000e-11,7.915283e-01,5.013725e-02,5.112252e-02
8.180000e-11,7.915590e-01,5.046333e-02,5.145506e-02
8.200000e-11,7.915892e-01,5.078952e-02,5.178760e-02
8.220000e-11,7.916190e-01,5.111580e-02,5.212014e-02
8.240000e-11,7.916483e-01,5.144218e-02,5.245269e-02
8.260000e-11,7.916771e-01,5.176864e-02,5.278527e-02
8.280000e-11,7.917055e-01,5.209515e-02,5.311790e-02
8.300000e-11,7.917334e-01,5.242169e-02,5.345059e-02
8.320000e-11,7.917609e-01,5.274825e-02,5.378336e-02
8.340000e-11,7.917879e-01,5.307481e-02,5.411622e-02
8.360000e-11,7.918146e-01,5.340136e-02,5.444917e-02
8.380000e-11,7.918408e-01,5.372791e-02,5.478219e-02
8.400000e-11,7.918666e-01,5.405447e-02,5.511528e-02
8.420000e-11,7.918920e-01,5.438106e-02,5.544841e-02
8.440000e-11,7.919170e-01,5.470770e-02,5.578158e-02
8.460000e-11,7.919416e-01,5.503440e-02,5.611476e-02
8.480000e-11,7.919658e-01,5.536117e-02,5.644794e-02
8.500000e-11,7.919896e-01,5.568802e-02,5.678113e-02
8.520000e-11,7.920130e-01,5.601496e-02,5.711432e-02
8.540000e-11,7.920361e-01,5.634196e-02,5.744753e-02
8.560000e-11,7.920588e-01,5.666902e-02,5.778077e-02
8.580000e-11,7.920811e-01,5.699611e-02,5.811406e-02
8.600000e-11,7.921031e-01,5.732323e-02,5.844740e-02
