time,"P(B0|X4)","P(B1|X3)","P(B1|X4)","P(B2|X4)","P(B0|X6)","P(B1|X6)","P(B2|X6)"
7.600000e-11,1.034151e-03,7.904355e-01,4.161242e-02,4.243053e-02,1.022881e-03,4.102698e-02,4.183575e-02
7.650000e-11,1.050920e-03,7.905540e-01,4.232537e-02,4.315655e-02,1.042180e-03,4.183851e-02,4.266270e-02
7.700000e-11,1.068546e-03,7.906679e-01,4.304230e-02,4.388726e-02,1.061096e-03,4.265084e-02,4.348986e-02
7.750000e-11,1.086961e-03,7.907774e-01,4.376287e-02,4.462246e-02,1.080630e-03,4.346341e-02,4.431768e-02
7.800000e-11,1.105413e-03,7.908826e-01,4.448726e-02,4.536168e-02,1.101083e-03,4.427591e-02,4.514634e-02
7.850000e-11,1.123273e-03,7.909838e-01,4.521577e-02,4.610452e-02,1.121817e-03,4.508852e-02,4.597558e-02
7.900000e-11,1.140653e-03,7.910809e-01,4.594837e-02,4.685087e-02,1.141983e-03,4.590169e-02,4.680497e-02
7.950000e-11,1.158221e-03,7.911743e-01,4.668460e-02,4.760086e-02,1.161381e-03,4.671564e-02,4.763436e-02
8.000000e-11,1.176478e-03,7.912640e-01,4.742394e-02,4.835455e-02,1.180608e-03,4.753015e-02,4.846398e-02
8.050000e-11,1.195268e-03,7.913502e-01,4.816619e-02,4.911175e-02,1.200384e-03,4.834482e-02,4.929417e-02
8.100000e-11,1.213995e-03,7.914331e-01,4.891151e-02,4.987208e-02,1.220822e-03,4.915945e-02,5.012500e-02
8.150000e-11,1.232251e-03,7.915127e-01,4.966011e-02,5.063527e-02,1.241370e-03,4.997424e-02,5.095625e-02
8.200000e-11,1.250210e-03,7.915892e-01,5.041191e-02,5.140126e-02,1.261423e-03,5.078952e-02,5.178760e-02
8.250000e-11,1.268394e-03,7.916628e-01,5.116652e-02,5.217016e-02,1.280932e-03,5.160540e-02,5.261898e-02
8.300000e-11,1.287116e-03,7.917334e-01,5.192357e-02,5.294199e-02,1.300403e-03,5.242169e-02,5.345059e-02
8.350000e-11,1.306186e-03,7.918013e-01,5.268294e-02,5.371655e-02,1.320340e-03,5.323808e-02,5.428268e-02
8.400000e-11,1.325142e-03,7.918666e-01,5.344480e-02,5.449357e-02,1.340740e-03,5.405447e-02,5.511528e-02
8.450000e-11,1.343738e-03,7.919293e-01,5.420926e-02,5.527284e-02,1.361145e-03,5.487104e-02,5.594817e-02
8.500000e-11,1.362164e-03,7.919896e-01,5.497621e-02,5.605436e-02,1.381136e-03,5.568802e-02,5.678113e-02
8.550000e-11,1.380818e-03,7.920475e-01,5.574534e-02,5.683820e-02,1.400754e-03,5.650548e-02,5.761415e-02
8.600000e-11,1.399884e-03,7.921031e-01,5.651640e-02,5.762435e-02,1.420411e-03,5.732323e-02,5.844740e-02
8.650000e-11,1.419165e-03,7.921566e-01,5.728933e-02,5.841264e-02,1.440451e-03,5.814105e-02,5.928105e-02
8.700000e-11,1.438316e-03,7.922080e-01,5.806426e-02,5.920285e-02,1.460804e-03,5.895890e-02,6.011508e-02
8.750000e-11,1.457198e-03,7.922574e-01,5.884124e-02,5.999486e-02,1.481102e-03,5.977693e-02,6.094933e-02
8.800000e-11,1.475998e-03,7.923049e-01,5.962018e-02,6.078867e-02,1.501067e-03,6.059532e-02,6.178364e-02
8.850000e-11,1.495010e-03,7.923505e-01,6.040082e-02,6.158433e-02,1.520783e-03,6.141407e-02,6.261803e-02
8.900000e-11,1.514328e-03,7.923943e-01,6.118298e-02,6.238180e-02,1.540581e-03,6.223304e-02,6.345263e-02
8.950000e-11,1.533772e-03,7.924364e-01,6.196665e-02,6.318096e-02,1.560682e-03,6.305206e-02,6.428757e-02
9.000000e-11,1.553088e-03,7.924769e-01,6.275192e-02,6.398163e-02,1.580988e-03,6.387114e-02,6.512280e-02
9.050000e-11,1.572210e-03,7.925158e-01,6.353883e-02,6.478374e-02,1.601209e-03,6.469039e-02,6.595819e-02
9.100000e-11,1.591306e-03,7.925532e-01,6.432726e-02,6.558729e-02,1.621168e-03,6.550995e-02,6.679364e-02
9.150000e-11,1.610589e-03,7.925891e-01,6.511703e-02,6.639232e-02,1.640972e-03,6.632978e-02,6.762918e-02
9.200000e-11,1.630095e-03,7.926236e-01,6.590801e-02,6.719878e-02,1.660873e-03,6.714978e-02,6.846492e-02
9.250000e-11,1.649665e-03,7.926568e-01,6.670021e-02,6.800656e-02,1.681009e-03,6.796983e-02,6.930094e-02
9.300000e-11,1.669121e-03,7.926887e-01,6.749369e-02,6.881554e-02,1.701271e-03,6.878995e-02,7.013718e-02
9.350000e-11,1.688441e-03,7.927194e-01,6.828847e-02,6.962567e-02,1.721438e-03,6.961024e-02,7.097355e-02
9.400000e-11,1.707771e-03,7.927488e-01,6.908445e-02,7.043696e-02,1.741406e-03,7.043078e-02,7.180998e-02
9.450000e-11,1.727258e-03,7.927771e-01,6.988147e-02,7.124943e-02,1.761282e-03,7.125154e-02,7.264651e-02
9.500000e-11,1.746903e-03,7.928043e-01,7.067947e-02,7.206303e-02,1.781258e-03,7.207243e-02,7.348322e-02
9.550000e-11,1.766574e-03,7.928304e-01,7.147846e-02,7.287768e-02,1.801410e-03,7.289337e-02,7.432016e-02
9.600000e-11,1.786148e-03,7.928556e-01,7.227848e-02,7.369328e-02,1.821635e-03,7.371439e-02,7.515728e-02
