time,"P(B5|X9)","P(B1|X9)","P(B3|X9)","P(B2|X11)","P(B1|X12)"
5.380000e-11,1.383114e+01,-6.713276e+00,6.930243e+00,2.142257e+00,1.034391e+00
5.400000e-11,1.381669e+01,-6.757766e+00,6.952760e+00,2.345910e+00,1.071308e+00
5.420000e-11,1.379993e+01,-6.783635e+00,6.972019e+00,2.579484e+00,1.113658e+00
5.440000e-11,1.378333e+01,-6.791723e+00,6.987961e+00,2.846830e+00,1.162256e+00
5.460000e-11,1.376908e+01,-6.784047e+00,7.000940e+00,3.152278e+00,1.218069e+00
5.480000e-11,1.375918e+01,-6.763464e+00,7.011710e+00,3.500175e+00,1.282271e+00
5.500000e-11,1.375554e+01,-6.733329e+00,7.021396e+00,3.893547e+00,1.356300e+00
5.520000e-11,1.375996e+01,-6.697193e+00,7.031412e+00,4.331649e+00,1.441917e+00
5.540000e-11,1.377427e+01,-6.658550e+00,7.043375e+00,4.806749e+00,1.541237e+00
5.560000e-11,1.380023e+01,-6.620646e+00,7.058993e+00,5.301749e+00,1.656732e+00
